"semaine";"annee";"sexe";"classe_age";"nb_patient"
17;2014;2;"51-75";129471
17;2014;2;">75";91754
17;2014;9;">75";181
18;2014;1;"0-11";29
18;2014;1;"12-18";162
18;2014;1;"19-25";1519
18;2014;1;"26-50";32549
18;2014;1;"51-75";68173
18;2014;1;">75";32588
18;2014;2;"0-11";31
18;2014;2;"12-18";252
18;2014;2;"19-25";2169
18;2014;2;"26-50";45279
18;2014;2;"51-75";111913
18;2014;2;">75";80376
18;2014;9;">75";17
19;2014;1;"0-11";26
19;2014;1;"12-18";174
19;2014;1;"19-25";1537
19;2014;1;"26-50";33052
19;2014;1;"51-75";69241
19;2014;1;">75";32998
19;2014;2;"0-11";30
19;2014;2;"12-18";267
19;2014;2;"19-25";2294
19;2014;2;"26-50";45886
19;2014;2;"51-75";113878
19;2014;2;">75";81640
19;2014;9;">75";51
20;2014;1;"0-11";48
20;2014;1;"12-18";233
20;2014;1;"19-25";1811
20;2014;1;"26-50";37112
20;2014;1;"51-75";75884
20;2014;1;">75";35195
20;2014;2;"0-11";29
20;2014;2;"12-18";335
20;2014;2;"19-25";2549
20;2014;2;"26-50";52198
20;2014;2;"51-75";127257
20;2014;2;">75";90839
20;2014;9;">75";69
21;2014;1;"0-11";31
21;2014;1;"12-18";193
21;2014;1;"19-25";1826
21;2014;1;"26-50";36659
21;2014;1;"51-75";75525
21;2014;1;">75";34845
21;2014;2;"0-11";31
21;2014;2;"12-18";333
21;2014;2;"19-25";2462
21;2014;2;"26-50";50944
21;2014;2;"51-75";124989
21;2014;2;">75";86938
21;2014;9;">75";93
22;2014;1;"0-11";36
22;2014;1;"12-18";174
22;2014;1;"19-25";1490
22;2014;1;"26-50";32513
22;2014;1;"51-75";66510
22;2014;1;">75";30903
22;2014;2;"0-11";28
22;2014;2;"12-18";281
22;2014;2;"19-25";2087
22;2014;2;"26-50";44944
22;2014;2;"51-75";108640
22;2014;2;">75";76187
22;2014;9;">75";84
23;2014;1;"0-11";25
23;2014;1;"12-18";164
23;2014;1;"19-25";1524
23;2014;1;"26-50";31352
